"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"EG","LB","Middle East","Middle East","Egypt","Lebanon","overflying",0,0,0,0,0,0,0,0,0,2013,0,1957,2500,2324,2427
"EG","NL","Middle East","Eurocontrol","Egypt","Netherlands","inbound",0,0,0,0,0,0,0,0,0,1861,1922,2051,0,0,0
"EG","PL","Middle East","Eurocontrol","Egypt","Poland","inbound",0,0,0,0,0,0,1845,2954,2464,3301,2195,2775,0,0,0
"EG","RU","Middle East","Asia","Egypt","Russian Federation","overflying",0,0,2152,3118,3586,4588,6496,7654,9211,12282,7970,10328,10066,13417,10491
"EG","TR","Middle East","Eurocontrol","Egypt","Turkey","inbound",0,0,0,0,0,0,0,0,1998,2591,2547,2645,3212,3391,3715
"EG","UA","Middle East","Eurocontrol","Egypt","Ukraine","inbound",0,0,0,0,0,0,2411,2985,0,2259,1851,0,1834,2146,1869
"ES","BR","Eurocontrol","America","Spain","Brazil","outbound",0,0,0,0,0,2026,1951,2133,0,1922,2285,2130,2113,2394,2270
"ES","CO","Eurocontrol","America","Spain","Colombia","outbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853
"ES","DZ","Eurocontrol","Africa","Spain","Algeria","outbound",0,0,0,0,0,0,0,0,1990,2639,2796,2574,3089,3272,3527
"ES","IL","Eurocontrol","Middle East","Spain","Israel","outbound",0,0,0,0,0,0,0,2039,1934,2241,2486,2240,2188,2325,2489
"ES","MA","Eurocontrol","Africa","Spain","Morocco","outbound",5983,5370,5283,6091,6985,6772,8262,7822,8861,9834,9270,7740,8255,8193,8362
"ES","MX","Eurocontrol","America","Spain","Mexico","outbound",0,0,0,0,0,1967,1888,1913,0,1869,1838,0,0,0,0
"ES","RU","Eurocontrol","Asia","Spain","Russian Federation","outbound",0,1899,1845,2059,2557,2893,3863,4477,3549,4500,6281,7834,9358,9255,6572
"ES","US","Eurocontrol","America","Spain","United States","outbound",4657,4010,3949,4040,4024,4379,5169,5976,6324,7068,7795,7243,6886,7325,7645
"FI","RU","Eurocontrol","Asia","Finland","Russian Federation","outbound",2443,2308,2405,2537,2435,2610,2987,3560,3204,3188,3405,3057,2776,3526,3439
"FR","AE","Eurocontrol","Middle East","France","United Arab Emirates","outbound",2010,2031,2091,0,2251,2598,2698,2792,2809,2878,3008,3128,3458,3536,3651
"FR","BR","Eurocontrol","America","France","Brazil","outbound",0,0,0,0,0,1843,2363,2773,2455,2385,2380,2119,1952,1879,1928
"FR","CA","Eurocontrol","America","France","Canada","outbound",2999,2784,2822,3166,3391,3564,3628,3777,3616,3708,3713,3481,3428,3427,3816
"FR","CN","Eurocontrol","Asia","France","China","outbound",0,0,0,2398,2673,2889,2960,2885,2791,3058,3282,3582,3433,3537,4156
"FR","DZ","Eurocontrol","Africa","France","Algeria","outbound",7887,10058,10282,10499,10530,11724,12093,12597,13582,14833,15673,16796,18201,18977,19666
"FR","EG","Eurocontrol","Middle East","France","Egypt","outbound",2691,2541,2685,3557,3697,2882,3364,3809,3546,3896,2462,2273,0,0,0
"FR","IL","Eurocontrol","Middle East","France","Israel","outbound",1991,0,0,1951,2062,2403,2632,2755,2542,2658,2975,3022,3473,3600,3817
"FR","IN","Eurocontrol","Asia","France","India","outbound",0,0,0,0,1862,2340,2171,2236,0,0,1915,0,0,1991,2193
"FR","JP","Eurocontrol","Asia","France","Japan","outbound",1968,2056,2284,2540,2818,2937,2910,2754,2441,2084,2226,2271,2253,2714,2774
"FR","MA","Eurocontrol","Africa","France","Morocco","outbound",10882,11488,12490,13615,15644,17296,20218,20698,20587,22024,21256,20426,21530,21431,21103
"FR","MQ","Eurocontrol","America","France","Martinique","outbound",2896,3012,2336,2653,2638,2697,2816,2768,2668,2666,2829,2907,3203,3026,3024
"FR","RU","Eurocontrol","Asia","France","Russian Federation","outbound",3368,3926,4768,5567,6151,6740,7393,8574,7316,7551,8702,9629,10538,10044,8486
"FR","SA","Eurocontrol","Middle East","France","Saudi Arabia","outbound",0,0,0,0,0,0,0,0,0,1835,0,0,0,0,0
"FR","SN","Eurocontrol","Africa","France","Senegal","outbound",0,0,2052,1954,1910,1928,1837,0,0,0,0,0,0,0,0
"FR","TN","Eurocontrol","Africa","France","Tunisia","outbound",12141,11329,10951,12231,12955,13569,14840,15586,15359,15792,12297,14463,12860,12102,11080
"FR","US","Eurocontrol","America","France","United States","outbound",17884,16463,15444,16431,16913,16763,17070,18111,17054,16934,18267,17313,17354,17284,17968
"GB","AE","Eurocontrol","Middle East","United Kingdom","United Arab Emirates","outbound",5134,5141,5788,7359,8242,8630,8890,9483,9567,9383,10019,10381,11039,11070,11401
"GB","CA","Eurocontrol","America","United Kingdom","Canada","outbound",8188,7542,7364,8384,9200,9198,10172,9032,7766,7942,7722,7689,7513,7360,7401
"GB","CN","Eurocontrol","Asia","United Kingdom","China","outbound",0,0,0,0,0,0,0,0,0,0,0,1876,2150,2454,2809
"GB","EG","Eurocontrol","Middle East","United Kingdom","Egypt","outbound",1851,2073,2243,2693,4022,5326,5231,5708,6426,6972,5945,5530,5674,5689,5487
"GB","HK","Eurocontrol","Asia","United Kingdom","Hong Kong","outbound",2119,2095,2008,2402,2785,3465,4089,3842,3611,3152,3264,3142,2793,2936,3109
"GB","IL","Eurocontrol","Middle East","United Kingdom","Israel","outbound",0,0,0,1834,1856,2001,2085,2466,2594,2263,2323,2227,2826,2831,3096
"GB","IN","Eurocontrol","Asia","United Kingdom","India","outbound",1999,1858,1845,2016,3461,5743,6204,6149,5896,5699,5952,5033,5646,5920,5818
"GB","IS","Eurocontrol","America","United Kingdom","Iceland","outbound",2412,1990,2328,2826,2584,2821,3172,2487,2086,2133,2396,2544,3143,3702,4259
"GB","JP","Eurocontrol","Asia","United Kingdom","Japan","outbound",2335,2369,2304,2556,2560,2344,2294,2269,1841,0,0,0,0,0,0
